account_number;agreement_number;account_type;name;balance;debit_credit;block_direct_entries;vat_code;self_url;created_at;updated_at;Mapping;Category
1027;1382005;profitAndLoss;People cost and car rental;-1132731;debit;0;U25;https://restapi.e-conomic.com/accounts/1027;10/04/2025 10.33;01/05/2025 15.59;People  Re-imbursement;Income Statement
1028;1382005;profitAndLoss;Salaries HAUS;-1432400;debit;0;U25;https://restapi.e-conomic.com/accounts/1028;10/04/2025 10.33;01/05/2025 15.59;People  Re-imbursement;Income Statement
1030;1382005;profitAndLoss;Salg til kunder u/moms / Viderefakturering;0;credit;0;\N;https://restapi.e-conomic.com/accounts/1030;10/04/2025 10.33;01/05/2025 15.59;Other Income;Income Statement
1040;1382005;profitAndLoss;Revenue - shared cost;-112064,35;debit;0;U25;https://restapi.e-conomic.com/accounts/1040;10/04/2025 10.33;01/05/2025 15.59;Software Re-imbursement;Income Statement
1045;1382005;profitAndLoss;Viderefakt. Halil / Dan extra;-175321,81;debit;0;U25;https://restapi.e-conomic.com/accounts/1045;10/04/2025 10.33;01/05/2025 15.59;People  Re-imbursement;Income Statement
1099;1382005;totalFrom;Omsætning i alt;-5817288,87;debit;0;\N;https://restapi.e-conomic.com/accounts/1099;10/04/2025 10.33;01/05/2025 15.59;#N/A;#N/A
1300;1382005;heading;Direkte omkostninger;0;debit;0;\N;https://restapi.e-conomic.com/accounts/1300;10/04/2025 10.33;01/05/2025 15.59;#N/A;#N/A
1305;1382005;profitAndLoss;Omkostninger Brøndby (Proper, e-conomic mm);0;debit;0;I25;https://restapi.e-conomic.com/accounts/1305;10/04/2025 10.33;01/05/2025 15.59;IT, Software;Income Statement
1306;1382005;profitAndLoss;Omkostninger Mylo (Proper, e-conomic mm);10763,74;debit;0;I25;https://restapi.e-conomic.com/accounts/1306;10/04/2025 10.33;01/05/2025 15.59;IT, Software;Income Statement
1308;1382005;profitAndLoss;Omkostninger Vejle - skal viderefaktureres;2800;debit;0;I25;https://restapi.e-conomic.com/accounts/1308;10/04/2025 10.33;01/05/2025 15.59;IT, Software;Income Statement
1309;1382005;profitAndLoss;JE El teknik (Halil) skal viderefaktureres;75477,21;debit;0;I25;https://restapi.e-conomic.com/accounts/1309;10/04/2025 10.33;01/05/2025 15.59;Caretaker Salaries (to re-imburse);Income Statement
1310;1382005;profitAndLoss;Direkte omkostninger m/moms;0;debit;0;I25;https://restapi.e-conomic.com/accounts/1310;10/04/2025 10.33;01/05/2025 15.59;Other expenses;Income Statement
1320;1382005;profitAndLoss;Direkte omkostninger varer u/moms indenfor EU;0;debit;0;IV25;https://restapi.e-conomic.com/accounts/1320;10/04/2025 10.33;01/05/2025 15.59;Other expenses;Income Statement
1321;1382005;profitAndLoss;Direkte omkostninger ydelser u/moms indenfor EU;0;debit;0;IY25;https://restapi.e-conomic.com/accounts/1321;10/04/2025 10.33;01/05/2025 15.59;Other expenses;Income Statement
1324;1382005;profitAndLoss;Direkte omkostninger varer u/moms 3. lande;0;debit;0;IV25;https://restapi.e-conomic.com/accounts/1324;10/04/2025 10.33;01/05/2025 15.59;Other expenses;Income Statement
1325;1382005;profitAndLoss;Direkte omkostninger ydelser u/moms 3. lande;0;debit;0;IY25;https://restapi.e-conomic.com/accounts/1325;10/04/2025 10.33;01/05/2025 15.59;Other expenses;Income Statement
1326;1382005;profitAndLoss;Lønninger, afsluttede projekter (projekt);0;debit;0;\N;https://restapi.e-conomic.com/accounts/1326;10/04/2025 10.33;01/05/2025 15.59;Other expenses;Income Statement
1327;1382005;profitAndLoss;Omkostninger, afsluttede projekter (projekt);0;debit;0;\N;https://restapi.e-conomic.com/accounts/1327;10/04/2025 10.33;01/05/2025 15.59;Other expenses;Income Statement
1330;1382005;profitAndLoss;Vareforbrug (lagermodul);0;debit;0;\N;https://restapi.e-conomic.com/accounts/1330;10/04/2025 10.33;01/05/2025 15.59;Other expenses;Income Statement
1399;1382005;totalFrom;Direkte omkostninger i alt;89040,95;debit;0;\N;https://restapi.e-conomic.com/accounts/1399;10/04/2025 10.33;01/05/2025 15.59;#N/A;#N/A
2000;1382005;totalFrom;Dækningsbidrag;-5728247,92;debit;0;\N;https://restapi.e-conomic.com/accounts/2000;10/04/2025 10.33;01/05/2025 15.59;#N/A;#N/A
2200;1382005;heading;Lønninger;0;debit;0;\N;https://restapi.e-conomic.com/accounts/2200;10/04/2025 10.33;01/05/2025 15.59;#N/A;#N/A
2206;1382005;profitAndLoss;Pension, medarbejder (Mylo);0;debit;0;\N;https://restapi.e-conomic.com/accounts/2206;10/04/2025 10.33;01/05/2025 15.59;Pension Costs;Income Statement
2207;1382005;profitAndLoss;Pension, arbejdsgiver (Mylo);0;debit;0;\N;https://restapi.e-conomic.com/accounts/2207;10/04/2025 10.33;01/05/2025 15.59;Pension Costs;Income Statement
